18xx,story,"""The Black Cat"""
18xx,story,"""The Cask of Amontillado"""
18xx,story,"""A Descent into the Maelstrom"""
18xx,story,"""The Facts in the Case of M. Valdemar"""
18xx,story,"""The Fall of the House of Usher"""
18xx,story,"""The Gold-Bug"""
18xx,story,"""Hop-Frog"""
18xx,story,"""The Imp of the Perverse"""
18xx,story,"""Ligeia"""
18xx,story,"""The Masque of the Red Death"""
18xx,story,"""Morella"""
18xx,story,"""The Murders in the Rue Morgue"""
18xx,story,"""The Oval Portrait"""
18xx,story,"""The Pit and the Pendulum"""
18xx,story,"""The Premature Burial"""
18xx,story,"""The Purloined Letter"""
18xx,story,"""The System of Doctor Tarr and Professor Fether"""
18xx,story,"""The Tell-Tale Heart"""
18xx,poem,"""Al Aaraaf"""
18xx,poem,"""Annabel Lee"""
18xx,poem,"""The Bells"""
18xx,poem,"""The City in the Sea"""
18xx,poem,"""The Conqueror Worm"""
18xx,poem,"""A Dream Within a Dream"""
18xx,poem,"""Eldorado"""
18xx,poem,"""Eulalie"""
18xx,poem,"""The Haunted Palace"""
18xx,poem,"""To Helen"""
18xx,poem,"""Lenore"""
18xx,poem,"""Tamerlane"""
18xx,poem,"""The Raven"""
18xx,poem,"""Ulalume"""
1835,play,Politian ()
1838,novel,The Narrative of Arthur Gordon Pym of Nantucket ()
1844,hoax,"""The Balloon-Hoax""" ()
1846,essay,"""The Philosophy of Composition"""
1848,essay,Eureka: A Prose Poem
1848,essay,"""The Poetic Principle"""
1849,incomplete,"""The Light-House"""
